,Case.Number,Date.Time.Reported,Earliest.Occurrence,Latest.Occurrence,General.Location,Disposition,Classification,longitude,latitude,Category
5325,17-000695,6/25/2017 2:55,6/25/2017 2:55,6/25/2017 2:55,Mortensen Road and State Avenue,Arrest,operating while intoxicated,-93.6589323,42.0118849,Alcohol Related
5326,17-000694,6/25/2017 3:00,6/25/2017 3:00,6/25/2017 3:00,100 block of Stanton Avenue,Arrest,operating while intoxicated,-93.6485138,42.0227307,Alcohol Related
5327,17-000694,6/25/2017 3:00,6/25/2017 3:00,6/25/2017 3:00,100 block of Stanton Avenue,Arrest,unlawful use of license,-93.6485138,42.0227307,License Related
5328,17-000701,6/29/2017 1:30,6/29/2017 1:30,6/29/2017 1:30,223 Welch Avenue,Arrest,public intoxication,-93.6504623,42.0204388,Alcohol Related
5329,17-000701,6/29/2017 1:30,6/29/2017 1:30,6/29/2017 1:30,223 Welch Avenue,Arrest,unlawful use of license,-93.6504623,42.0204388,License Related
5330,17-000705,7/1/2017 23:10,7/1/2017 23:10,7/1/2017 23:10,119 Stanton Avenue,Arrest,alcohol violation,-93.6489377,42.0219747,Alcohol Related
5331,17-000706,7/2/2017 1:08,7/2/2017 1:08,7/2/2017 1:08,119 Stanton Avenue,Closed,trespass,-93.6489377,42.0219747,Non-Violence Related
5332,17-000708,7/3/2017 2:30,7/3/2017 2:30,7/3/2017 2:30,Mortensen Road and State Avenue,Arrest,public intoxication,-93.6589323,42.0118849,Alcohol Related
5333,17-000710,7/4/2017 2:40,7/4/2017 2:40,7/4/2017 2:40,South 16th Street and Christensen Drive,Arrest,operating while intoxicated,-93.6320587,42.0097006,Alcohol Related
5334,17-000712,7/7/2017 1:48,7/7/2017 1:48,7/7/2017 1:48,Lincoln Way and South Riverside Drive,Arrest,driving violation,-93.6296177,42.0228334,Vehicle Related
5335,17-000716,7/8/2017 3:00,7/8/2017 3:00,7/8/2017 3:00,227 Sheldon Avenue,Arrest,driving violation,-93.6545364,42.0264621,Vehicle Related
5336,17-000717,7/8/2017 18:27,7/8/2017 18:27,7/8/2017 18:27,Ames Intermodel Facility,Arrest,public intoxication,-93.6523433,42.0210166,Alcohol Related
5337,17-000719,7/9/2017 1:23,7/9/2017 1:23,7/9/2017 1:23,Lincoln Way and Union Drive,Arrest,disorderly conduct,-93.64278,42.0226914,Non-Violence Related
5338,17-000719,7/9/2017 1:23,7/9/2017 1:23,7/9/2017 1:23,Lincoln Way and Union Drive,Arrest,public intoxication,-93.64278,42.0226914,Alcohol Related
5339,17-000723,7/10/2017 11:17,7/10/2017 11:17,7/10/2017 11:17,1215 Scholl Road,Arrest,contempt of court,-93.665812,42.033881,Miscellaneous
5340,17-000724,7/10/2017 12:46,7/10/2017 12:46,7/10/2017 12:46,Parks Library,Open,harassment,-93.6488141,42.0281254,Non-Violence Related
5341,17-000725,7/12/2017 2:05,7/12/2017 2:05,7/12/2017 2:05,Grand Avenue and Lincoln Way,Arrest,drug violation,-93.6201078,42.0229238,Drug Related
5342,17-000725,7/12/2017 2:05,7/12/2017 2:05,7/12/2017 2:05,Grand Avenue and Lincoln Way,Arrest,alcohol violation,-93.6201078,42.0229238,Alcohol Related
5343,17-000726,7/12/2017 9:23,7/12/2017 9:23,7/12/2017 9:23,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5344,17-000727,7/12/2017 9:42,7/12/2017 9:42,7/12/2017 9:42,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5345,17-000728,7/13/2017 2:16,7/13/2017 2:16,7/13/2017 2:16,Lincoln Way and State Avenue,Arrest,operating while intoxicated,-93.6591203,42.0227266,Alcohol Related
5346,17-000728,7/13/2017 2:16,7/13/2017 2:16,7/13/2017 2:16,Lincoln Way and State Avenue,Arrest,drug violation,-93.6591203,42.0227266,Drug Related
5347,17-000729,7/13/2017 9:46,7/13/2017 9:46,7/13/2017 9:46,1150 Lincoln Way,Open,theft,-93.6262917,42.0226452,Non-Violence Related
5348,17-000731,7/14/2017 2:52,7/14/2017 2:52,7/14/2017 2:52,Friley Hall,Arrest,public intoxication,-93.65045,42.0239234,Alcohol Related
5349,17-000733,7/14/2017 15:06,7/14/2017 15:06,7/14/2017 15:06,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5350,17-000734,7/15/2017 1:57,7/15/2017 1:57,7/15/2017 1:57,Lincoln Way and Sheldon Avenue,Arrest,operating while intoxicated,-93.6542392,42.0227224,Alcohol Related
5351,17-000736,7/16/2017 2:57,7/16/2017 2:57,7/16/2017 2:57,100 block of Franklin Avenue,Arrest,operating while intoxicated,-93.6647898,42.0228016,Alcohol Related
5352,17-000735,7/16/2017 3:11,7/16/2017 3:11,7/16/2017 3:11,Lot 59D,Open,vandalism,-93.6510118,42.0235902,Non-Violence Related
5353,17-000737,7/17/2017 8:16,7/17/2017 8:16,7/17/2017 8:16,Armory Building,Open,harassment,-93.6509474,42.029626,Non-Violence Related
5354,17-000738,7/17/2017 12:20,7/17/2017 12:20,7/17/2017 12:20,Elings Hall,Open,theft,-93.6526658,42.0274371,Non-Violence Related
5355,17-000740,7/17/2017 21:00,7/17/2017 21:00,7/17/2017 21:00,112 University Village,Open,theft,-93.643016,42.0399381,Non-Violence Related
5356,17-000741,7/18/2017 1:35,7/18/2017 1:35,7/18/2017 1:35,Hyland Avenue and Lincoln Way,Arrest,driving violation,-93.6555907,42.0227264,Vehicle Related
5357,17-000741,7/18/2017 1:35,7/18/2017 1:35,7/18/2017 1:35,Hyland Avenue and Lincoln Way,Arrest,interference,-93.6555907,42.0227264,Miscellaneous
5358,17-000741,7/18/2017 1:35,7/18/2017 1:35,7/18/2017 1:35,Hyland Avenue and Lincoln Way,Arrest,false information,-93.6555907,42.0227264,Fraud Related
5359,17-000742,7/18/2017 8:03,7/18/2017 8:03,7/18/2017 8:03,2566 Pammel Drive,Open,theft,-93.6535551,42.0304027,Non-Violence Related
5360,17-000743,7/18/2017 14:40,7/18/2017 14:40,7/18/2017 14:40,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5361,17-000744,7/18/2017 15:04,7/18/2017 15:04,7/18/2017 15:04,Wilson Hall,Open,theft,-93.651021,42.0139143,Non-Violence Related
5362,17-000750,7/19/2017 14:07,7/19/2017 14:07,7/19/2017 14:07,1259 State Avenue,Arrest,driving violation,-93.6593184,42.0104852,Vehicle Related
5363,17-000751,7/19/2017 23:13,7/19/2017 23:13,7/19/2017 23:13,Armory Building,Open,harassment,-93.6509474,42.029626,Non-Violence Related
5364,17-000753,7/21/2017 1:26,7/21/2017 1:26,7/21/2017 1:26,Chamberlain Street and Lynn Avenue,Arrest,public intoxication,-93.6464356,42.0215381,Alcohol Related
5365,17-000754,7/21/2017 9:39,7/21/2017 9:39,7/21/2017 9:39,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5366,17-000755,7/21/2017 10:50,7/21/2017 10:50,7/21/2017 10:50,Carver Hall,Open,theft,-93.648337,42.0252611,Non-Violence Related
5367,17-000756,7/21/2017 11:12,7/21/2017 11:12,7/21/2017 11:12,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5368,17-000757,7/21/2017 11:13,7/21/2017 11:13,7/21/2017 11:13,Curtiss Farm,Open,trespass,-93.6606346,42.0025316,Non-Violence Related
5369,17-000758,7/21/2017 15:59,7/21/2017 15:59,7/21/2017 15:59,Lot 23,Open,hit and run,-93.6502695,42.0296777,Vehicle Related
5370,17-000763,7/23/2017 2:01,7/23/2017 2:01,7/21/2017 2:01,Hayward Avenue and Mortensen Road,Arrest,operating while intoxicated,-93.6516786,42.0118612,Alcohol Related
5371,17-000764,7/23/2017 2:54,7/23/2017 2:54,7/21/2017 2:54,3917 Mortensen Road,Arrest,public intoxication,-93.671368,42.012405,Alcohol Related
5372,17-000765,7/23/2017 13:13,7/23/2017 13:13,7/23/2017 13:13,2122 Lincoln Way,Arrest,driving violation,-93.6412957,42.02241,Vehicle Related
5373,17-000766,7/24/2017 12:06,7/24/2017 12:06,7/24/2017 12:06,Armory Building,Open,theft,-93.6509474,42.029626,Non-Violence Related
5374,17-000767,7/24/2017 13:50,7/24/2017 13:50,7/24/2017 13:50,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5375,17-000768,7/24/2017 14:25,7/24/2017 14:25,7/24/2017 14:25,Food Sciences Building,Open,theft,-93.6425228,42.0268836,Non-Violence Related
5376,17-000771,7/24/2017 19:14,7/24/2017 19:14,7/24/2017 19:14,24 Frederiksen Court,Open,assault,-93.6435922,42.0327685,Violence Related
5377,17-000773,7/25/2017 9:39,7/25/2017 9:39,7/25/2017 9:39,Friley Hall,Recovered,theft,-93.65045,42.0239234,Non-Violence Related
5378,17-000779,7/25/2017 12:01,7/25/2017 12:01,7/26/2017 13:20,119 Stanton Avenue,Unfounded,theft,-93.6489377,42.0219747,Non-Violence Related
5379,17-000774,7/25/2017 12:02,7/25/2017 12:02,7/25/2017 12:02,Armory Building,Open,theft,-93.6509474,42.029626,Non-Violence Related
5380,17-000780,7/25/2017 14:10,7/25/2017 14:10,7/25/2017 14:10,Lied Recreation Center,Open,assault,-93.6372142,42.0267276,Violence Related
5381,17-000776,7/25/2017 14:20,7/25/2017 14:20,7/25/2017 14:20,2630 Bruner Drive,Arrest,driving violation,-93.6442967,42.0389824,Vehicle Related
5382,17-000777,7/25/2017 14:40,7/25/2017 14:40,7/25/2017 14:40,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5383,17-000778,7/25/2017 14:40,7/25/2017 14:40,7/25/2017 14:40,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5384,17-000782,7/26/2017 16:49,7/26/2017 16:49,7/26/2017 16:49,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5385,17-000784,7/27/2017 0:57,7/27/2017 0:57,7/27/2017 0:57,Mortensen Road and South Dakota Avenue,Arrest,operating while intoxicated,-93.6786567,42.0120839,Alcohol Related
5386,17-000784,7/27/2017 0:57,7/27/2017 0:57,7/27/2017 0:57,Mortensen Road and South Dakota Avenue,Arrest,unlawful use of license,-93.6786567,42.0120839,License Related
5387,17-000790,7/27/2017 22:30,7/27/2017 22:30,7/27/2017 22:30,1425 Coconino Road,Open,harassment,-93.6760938,42.0090551,Non-Violence Related
5388,17-000794,7/31/2017 1:08,7/31/2017 1:08,7/31/2017 1:08,North Dakota Avenue and Timber Ridge Drive,Arrest,driving violation,-93.6788234,42.0273617,Vehicle Related
5389,17-000794,7/31/2017 1:08,7/31/2017 1:08,7/31/2017 1:08,North Dakota Avenue and Timber Ridge Drive,Arrest,false information,-93.6788234,42.0273617,Fraud Related
5390,17-000796,7/31/2017 8:44,7/31/2017 8:44,7/31/2017 8:44,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5391,17-000798,7/31/2017 18:37,7/31/2017 18:37,7/31/2017 18:37,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5392,17-000802,8/1/2017 14:03,8/1/2017 14:03,8/1/2017 14:03,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5393,17-000803,8/2/2017 2:49,8/2/2017 2:49,8/2/2017 2:49,Beach Avenue and Lincoln Way,Arrest,operating while intoxicated,-93.639494,42.022655,Alcohol Related
5394,17-000805,8/2/2017 9:50,8/2/2017 9:50,8/2/2017 9:50,Storm Street and Welch Avenue,Arrest,driving violation,-93.6500563,42.0161339,Vehicle Related
5395,17-000806,8/3/2017 0:21,8/3/2017 0:21,9/15/2017 15:48,35 Frederiksen Court,Arrest,assault,-93.6421508,42.0347532,Violence Related
5396,17-000808,8/4/2017 3:02,8/4/2017 3:02,8/4/2017 3:02,Hyland Avenue and West Street,Arrest,operating while intoxicated,-93.6556457,42.0253446,Alcohol Related
5397,17-000810,8/4/2017 23:53,8/4/2017 23:53,8/4/2017 23:53,Veenker Golf Course,Arrest,trespass,-93.6503018,42.0413042,Non-Violence Related
5398,17-000812,8/5/2017 22:31,8/5/2017 22:31,8/5/2017 22:31,826 Dickinson Apartments,Arrest,drug violation,-93.6192443,42.0252573,Drug Related
5399,17-000812,8/5/2017 22:31,8/5/2017 22:31,8/5/2017 22:31,826 Dickinson Apartments,Arrest,driving violation,-93.6192443,42.0252573,Vehicle Related
5400,17-000813,8/6/2017 0:25,8/6/2017 0:25,8/6/2017 0:25,Mortensen Road and State Avenue,Arrest,operating while intoxicated,-93.6589323,42.0118849,Alcohol Related
5401,17-000814,8/6/2017 3:29,8/6/2017 3:29,8/6/2017 3:29,Lincoln Way and North Hazel Avenue,Arrest,operating while intoxicated,-93.6267992,42.022851,Alcohol Related
5402,17-000815,8/7/2017 0:32,8/7/2017 0:32,8/7/2017 0:32,Lincoln Way and North Hazel Avenue,Arrest,drug violation,-93.6267992,42.022851,Drug Related
5403,17-000820,8/9/2017 23:45,8/9/2017 23:45,8/9/2017 23:45,2508 Mortensen Road,Arrest,operating while intoxicated,-93.6502665,42.0110798,Alcohol Related
5404,17-000820,8/9/2017 23:45,8/9/2017 23:45,8/9/2017 23:45,2508 Mortensen Road,Arrest,drug violation,-93.6502665,42.0110798,Drug Related
5405,17-000821,8/10/2017 1:18,8/10/2017 1:18,8/10/2017 1:18,2401 Chamberlain Street,Arrest,public intoxication,-93.6487397,42.021556,Alcohol Related
5406,17-000822,8/10/2017 14:56,8/10/2017 14:56,8/10/2017 14:56,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5407,17-000823,8/11/2017 2:35,8/11/2017 2:35,8/11/2017 2:35,119 Stanton Avenue,Arrest,disorderly conduct,-93.6489377,42.0219747,Non-Violence Related
5408,17-000825,8/11/2017 11:43,8/11/2017 11:43,8/11/2017 11:43,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5409,17-000827,8/12/2017 1:15,8/12/2017 1:15,8/12/2017 1:15,Mortensen Road and State Avenue,Arrest,operating while intoxicated,-93.6589323,42.0118849,Alcohol Related
5410,17-000828,8/12/2017 2:11,8/12/2017 2:11,8/12/2017 2:11,Hyland Avenue and Ross Road,Arrest,operating while intoxicated,-93.6556243,42.033296,Alcohol Related
5411,17-000830,8/12/2017 11:19,8/12/2017 11:19,8/12/2017 11:19,1406 Mayfield Drive,Open,drug violation,-93.6719499,42.0095341,Drug Related
5412,17-000832,8/12/2017 22:19,8/12/2017 22:19,8/12/2017 22:19,1000 block Haber Road,Arrest,operating while intoxicated,-93.6384225,42.0312632,Alcohol Related
5413,17-000833,8/13/2017 0:39,8/13/2017 0:39,8/13/2017 0:39,1191 University Boulevard,Arrest,operating while intoxicated,-93.6382883,42.0125689,Alcohol Related
5414,17-000834,8/13/2017 1:52,8/13/2017 1:52,8/13/2017 1:52,Lincoln Way and Marshall Avenue,Arrest,operating while intoxicated,-93.6689375,42.0229021,Alcohol Related
5415,17-000835,8/13/2017 2:33,8/13/2017 2:33,8/13/2017 2:33,Lot 61B,Arrest,public intoxication,-93.6483675,42.0135352,Alcohol Related
5416,17-000836,8/13/2017 11:24,8/13/2017 11:24,8/13/2017 11:24,171 University Village,Open,harassment,-93.643191,42.0420562,Non-Violence Related
5417,17-000838,8/14/2017 13:41,8/14/2017 0:00,8/28/2014 14:59,Lot 50B,Unfounded,theft,-93.6417187,42.0259655,Non-Violence Related
5418,17-000839,8/14/2017 18:03,8/14/2017 18:03,8/14/2017 18:03,Armory Building,Arrest,drug violation,-93.6509474,42.029626,Drug Related
5419,17-000840,8/15/2017 7:16,8/15/2017 7:16,8/15/2017 7:16,13th Street and Haber Road,Arrest,driving violation,-93.578887,42.035042,Vehicle Related
5420,17-000843,8/15/2017 15:43,8/15/2017 15:43,8/15/2017 15:43,Wilson Hall,Arrest,drug violation,-93.651021,42.0139143,Drug Related
5421,17-000844,8/15/2017 21:55,8/15/2017 21:55,8/15/2017 21:55,Willow Hall,Arrest,drug violation,-93.6377325,42.0239136,Drug Related
5422,17-000844,8/15/2017 21:55,8/15/2017 21:55,8/15/2017 21:55,Willow Hall,Arrest,alcohol violation,-93.6377325,42.0239136,Alcohol Related
5423,17-000846,8/16/2017 0:25,8/16/2017 0:25,8/16/2017 0:25,Buchanan Hall,Open,harassment,-93.642449,42.022653,Non-Violence Related
5424,17-000848,8/16/2017 16:02,8/16/2017 16:02,8/16/2017 16:02,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5425,17-000850,8/16/2017 20:41,8/16/2017 20:41,8/16/2017 20:41,Geoffroy Hall,Open,harassment,-93.6423896,42.0225449,Non-Violence Related
5426,17-000851,8/16/2017 22:12,8/16/2017 22:12,8/16/2017 22:12,63 Frederiksen Court,Open,harassment,-93.6408012,42.0327995,Non-Violence Related
5427,17-000852,8/17/2017 2:13,8/17/2017 2:13,8/17/2017 2:13,Mortensen Road and State Avenue,Arrest,operating while intoxicated,-93.6589323,42.0118849,Alcohol Related
5428,17-000854,8/17/2017 2:27,8/17/2017 2:27,8/17/2017 2:27,Friley Hall,Arrest,public intoxication,-93.65045,42.0239234,Alcohol Related
5429,17-000855,8/17/2017 3:33,8/17/2017 3:33,8/17/2017 3:33,Morrill Road and Union Drive,Arrest,public intoxication,-93.6467417,42.0247336,Alcohol Related
5430,17-000857,8/17/2017 18:46,8/17/2017 18:46,8/17/2017 18:46,1308 Walton Drive,Arrest,drug violation,-93.6698899,42.0107592,Drug Related
5431,17-000858,8/17/2017 19:17,8/17/2017 0:00,8/17/2017 19:17,Lot 26,Open,hit and run,-93.6479903,42.0298873,Vehicle Related
5432,17-000862,8/17/2017 23:46,8/17/2017 23:46,8/17/2017 23:46,Lincoln Way and Stanton Avenue,Arrest,operating while intoxicated,-93.6485139,42.0227359,Alcohol Related
5433,17-000862,8/17/2017 23:46,8/17/2017 23:46,8/17/2017 23:46,Lincoln Way and Stanton Avenue,Arrest,drug violation,-93.6485139,42.0227359,Drug Related
5434,17-000862,8/17/2017 23:46,8/17/2017 23:46,8/17/2017 23:46,Lincoln Way and Stanton Avenue,Arrest,alcohol violation,-93.6485139,42.0227359,Alcohol Related
5435,17-000864,8/18/2017 21:27,8/18/2017 21:27,8/18/2017 21:27,Gray Avenue and Sunset Drive,Arrest,drug violation,-93.6411862,42.0212956,Drug Related
5436,17-000864,8/18/2017 21:27,8/18/2017 21:27,8/18/2017 21:27,Gray Avenue and Sunset Drive,Arrest,alcohol violation,-93.6411862,42.0212956,Alcohol Related
5437,17-000865,8/18/2017 22:51,8/18/2017 22:51,8/18/2017 22:51,153 Hyland Avenue,Arrest,public intoxication,-93.6559472,42.0247272,Alcohol Related
5438,17-000867,8/19/2017 0:53,8/19/2017 0:53,8/19/2017 0:53,Geoffroy Hall,Open,disorderly conduct,-93.6423896,42.0225449,Non-Violence Related
5439,17-000869,8/19/2017 1:27,8/19/2017 1:27,8/19/2017 1:27,Wallace Hall,Arrest,public intoxication,-93.6499279,42.0142261,Alcohol Related
5440,17-000868,8/19/2017 1:34,8/19/2017 1:34,8/19/2017 1:34,Lettie Street and State Avenue,Arrest,public intoxication,-93.6591273,42.0214744,Alcohol Related
5441,17-000870,8/19/2017 3:08,8/19/2017 3:08,8/19/2017 3:08,South 4th Street and South Hazel Avenue,Arrest,public intoxication,-93.62704,42.019284,Alcohol Related
5442,17-000871,8/19/2017 10:15,8/19/2017 10:15,8/19/2017 10:15,Maple Hall,Open,harassment,-93.6387491,42.023654,Non-Violence Related
5443,17-000872,8/19/2017 10:45,8/19/2017 10:45,8/19/2017 10:45,Knapp Street and Lynn Avenue,Arrest,alcohol violation,-93.6463784,42.019148,Alcohol Related
5444,17-000873,8/19/2017 10:56,8/19/2017 10:56,8/19/2017 10:56,Knapp Street and Stanton Avenue,Arrest,alcohol violation,-93.6485073,42.0191298,Alcohol Related
5445,17-000874,8/19/2017 11:08,8/19/2017 11:08,8/19/2017 11:08,Knapp Street and Lynn Avenue,Arrest,alcohol violation,-93.6463784,42.019148,Alcohol Related
5446,17-000875,8/19/2017 11:17,8/19/2017 11:17,8/19/2017 11:17,2327 Knapp Street,Arrest,alcohol violation,-93.648047,42.0193175,Alcohol Related
5447,17-000876,8/19/2017 11:24,8/19/2017 11:24,8/19/2017 11:24,2327 Knapp Street,Arrest,alcohol violation,-93.648047,42.0193175,Alcohol Related
5448,17-000877,8/19/2017 12:08,8/19/2017 12:08,8/19/2017 12:08,Chamberlain Street and Lynn Avenue,Arrest,alcohol violation,-93.6464356,42.0215381,Alcohol Related
5449,17-000878,8/19/2017 12:33,8/19/2017 12:33,8/19/2017 12:33,Knapp Street and Welch Avenue,Arrest,alcohol violation,-93.6500882,42.0191138,Alcohol Related
5450,17-000879,8/19/2017 13:04,8/19/2017 13:04,8/19/2017 13:04,Lincoln Way and Welch Avenue,Arrest,alcohol violation,-93.6501393,42.0227328,Alcohol Related
5451,17-000880,8/19/2017 14:14,8/19/2017 14:14,8/19/2017 14:14,2227 Knapp Street,Arrest,public intoxication,-93.6457501,42.0193517,Alcohol Related
5452,17-000882,8/19/2017 19:13,8/19/2017 19:13,8/19/2017 19:13,Chamberlain Street and Stanton Avenue,Arrest,drug violation,-93.6484903,42.0214258,Drug Related
5453,17-000883,8/20/2017 0:33,8/20/2017 0:33,8/20/2017 0:33,Pearson Avenue and Sunset Drive,Arrest,public intoxication,-93.6427194,42.0206123,Alcohol Related
5454,17-000884,8/20/2017 1:19,8/20/2017 1:19,8/20/2017 1:19,Memorial Union Parking Ramp,Open,theft,-93.6449075,42.0234906,Non-Violence Related
5455,17-000885,8/20/2017 2:23,8/20/2017 2:23,8/20/2017 2:23,Geoffroy Hall,Arrest,drug violation,-93.6423896,42.0225449,Drug Related
5456,17-000886,8/20/2017 3:16,8/20/2017 3:16,8/20/2017 3:16,516 Welch Avenue,Arrest,public intoxication,-93.6497495,42.017061,Alcohol Related
5457,17-000888,8/20/2017 19:35,8/20/2017 19:35,8/20/2017 19:35,Arboretum,Open,drug violation,-93.6387303,42.011617,Drug Related
5458,17-000889,8/21/2017 14:26,8/21/2017 14:26,8/21/2017 14:26,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5459,17-000891,8/22/2017 0:58,8/22/2017 0:58,8/22/2017 0:58,Lot 61B,Arrest,drug violation,-93.6483675,42.0135352,Drug Related
5460,17-000891,8/22/2017 0:58,8/22/2017 0:58,8/22/2017 0:58,Lot 61B,Arrest,public intoxication,-93.6483675,42.0135352,Alcohol Related
5461,17-000892,8/22/2017 12:11,8/22/2017 12:11,8/22/2017 12:11,General Services Building,Open,drug violation,-93.6410964,42.0280642,Drug Related
5462,17-000895,8/22/2017 19:54,8/22/2017 19:54,8/22/2017 19:54,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5463,17-000897,8/22/2017 23:29,8/22/2017 23:29,8/22/2017 23:29,Maple Hall,Arrest,drug violation,-93.6387491,42.023654,Drug Related
5464,17-000897,8/22/2017 23:29,8/22/2017 23:29,8/22/2017 23:29,Maple Hall,Arrest,alcohol violation,-93.6387491,42.023654,Alcohol Related
5465,17-000900,8/23/2017 11:22,8/23/2017 11:22,8/23/2017 11:22,Armory Building,Open,drug violation,-93.6509474,42.029626,Drug Related
5466,17-000904,8/24/2017 0:43,8/24/2017 0:43,8/24/2017 0:43,Mortensen Road and Seagrave Boulevard,Arrest,operating while intoxicated,-93.6713608,42.0120265,Alcohol Related
5467,17-000905,8/24/2017 1:33,8/24/2017 1:33,8/24/2017 1:33,State Avenue and Wood Street,Arrest,operating while intoxicated,-93.6591259,42.0221357,Alcohol Related
5468,17-000905,8/24/2017 1:33,8/24/2017 1:33,8/24/2017 1:33,State Avenue and Wood Street,Arrest,drug violation,-93.6591259,42.0221357,Drug Related
5469,17-000908,8/24/2017 10:21,8/24/2017 10:21,8/24/2017 10:21,2650 Lincoln Way,Arrest,driving violation,-93.6538878,42.0225517,Vehicle Related
5470,17-000909,8/24/2017 22:36,8/24/2017 22:36,8/24/2017 22:36,Ash Avenue and Lincoln Way,Arrest,public intoxication,-93.64441,42.0226961,Alcohol Related
5471,17-000910,8/24/2017 22:57,8/24/2017 22:57,8/24/2017 22:57,Ash Avenue and Lincoln Way,Arrest,public intoxication,-93.64441,42.0226961,Alcohol Related
5472,17-000911,8/24/2017 23:58,8/24/2017 23:58,8/24/2017 23:58,Knapp Street and Welch Avenue,Arrest,public intoxication,-93.6500882,42.0191138,Alcohol Related
5473,17-000912,8/25/2017 1:10,8/25/2017 1:10,8/25/2017 1:10,2320 Chamberlain Street,Arrest,public intoxication,-93.647491,42.02126,Alcohol Related
5474,17-000913,8/25/2017 1:15,8/25/2017 1:15,8/25/2017 1:15,South 16th Street and University Boulevard,Arrest,operating while intoxicated,-93.6337562,42.0114627,Alcohol Related
5475,17-000914,8/25/2017 1:36,8/25/2017 1:36,8/25/2017 1:36,Memorial Union,Arrest,public intoxication,-93.6459454,42.0236502,Alcohol Related
5476,17-000915,8/25/2017 2:08,8/25/2017 2:08,8/25/2017 2:08,Lot 59A,Arrest,public intoxication,-93.6535564,42.0234382,Alcohol Related
5477,17-000916,8/25/2017 5:38,8/25/2017 5:38,8/25/2017 5:38,Lot 59E,Arrest,public intoxication,-93.64992,42.0236716,Alcohol Related
5478,17-000919,8/25/2017 11:53,8/25/2017 11:53,8/25/2017 11:53,Bissell Road and Union Drive,Arrest,public intoxication,-93.6518976,42.0253625,Alcohol Related
5479,17-000922,8/25/2017 21:43,8/25/2017 21:43,8/25/2017 21:43,Union Drive and Wallace Road,Arrest,alcohol violation,-93.6441141,42.0247932,Alcohol Related
5480,17-000921,8/25/2017 21:58,8/25/2017 21:58,8/25/2017 21:58,Union Drive and Wallace Road,Arrest,public intoxication,-93.6441141,42.0247932,Alcohol Related
5481,17-000923,8/26/2017 0:17,8/26/2017 0:17,8/26/2017 0:17,Lake LaVerne,Arrest,alcohol violation,-93.6479874,42.0237049,Alcohol Related
5482,17-000926,8/26/2017 15:58,8/26/2017 0:00,8/26/2017 15:58,Ames Intermodel Facility,Open,hit and run,-93.6523433,42.0210166,Vehicle Related
5483,17-000928,8/26/2017 21:42,8/26/2017 21:42,8/26/2017 21:42,520 Morrill Road,Arrest,alcohol violation,-93.6479232,42.026185,Alcohol Related
5484,17-000929,8/26/2017 23:07,8/26/2017 23:07,8/26/2017 23:07,Beardshear Hall,Arrest,public intoxication,-93.6484405,42.0261746,Alcohol Related
5485,17-000930,8/27/2017 1:29,8/27/2017 1:29,8/27/2017 1:29,Lincoln Way and Morrill Road,Arrest,operating while intoxicated,-93.6464078,42.0228283,Alcohol Related
5486,17-000930,8/27/2017 1:29,8/27/2017 1:29,8/27/2017 1:29,Lincoln Way and Morrill Road,Arrest,drug violation,-93.6464078,42.0228283,Drug Related
5487,17-000930,8/27/2017 1:29,8/27/2017 1:29,8/27/2017 1:29,Lincoln Way and Morrill Road,Arrest,alcohol violation,-93.6464078,42.0228283,Alcohol Related
5488,17-000931,8/27/2017 2:06,8/27/2017 2:06,8/27/2017 2:06,119 Stanton Avenue,Arrest,public intoxication,-93.6489377,42.0219747,Alcohol Related
5489,17-000940,8/28/2017 20:43,8/28/2017 20:43,8/28/2017 20:43,Hayward Avenue and Mortensen Road,Arrest,drug violation,-93.6516786,42.0118612,Drug Related
5490,17-000941,8/29/2017 0:15,8/29/2017 0:15,8/29/2017 0:15,Mortensen Road and Pinon Drive,Open,driving violation,-93.6749317,42.0120645,Vehicle Related
5491,17-000943,8/29/2017 19:47,8/29/2017 0:00,8/29/2017 19:47,Lied Recreation Center,Open,theft,-93.6372142,42.0267276,Non-Violence Related
5492,17-000947,8/31/2017 9:30,8/31/2017 9:30,8/31/2017 9:30,Veterinary Medicine,Open,harassment,-93.633833,42.006383,Non-Violence Related
