recall_number,reason_for_recall,recalling_firm,distribution_pattern,report_date,termination_date,status
087-2019,"Misbranding, Unreported Allergens","Bakkavor Foods USA, Inc. - Texas",Texas,2019-08-28,2019-11-06,Terminated
086-2019,"Misbranding, Unreported Allergens",Olympia Meats,"California, Oregon, Washington",2019-08-24,2019-09-23,Terminated
085-2019,Product Contamination,"Tip Top Poultry, Inc.",NA,2019-08-20,2020-09-09,Terminated
084-2019,Product Contamination,"Tyson Foods, Inc.",NA,2019-08-15,2020-09-09,Terminated
083-2019,Processing Defect,"Taylor Farms Illinois, Inc","Arkansas, Michigan, Mississippi, Ohio, Tennessee, Virginia, West Virginia",2019-08-09,2020-04-30,Terminated
082-2019,Produced Without Benefit of Inspection,Top Taste Food Inc.,New York,2019-08-06,2019-11-26,Terminated
081-2019,Processing Defect,"ConAgra Brands, Inc.","Indiana, Kentucky, Maryland, Texas",2019-07-31,2020-02-13,Terminated
080-2019,Produced Without Benefit of Inspection,NA,"Colorado, Connecticut, Florida, Georgia, Illinois, Michigan, New Jersey, New York, Pennsylvania",2019-07-27,2020-05-07,Terminated
079-2019,Product Contamination,Kent Quality Foods Inc.,"California, Utah",2019-07-26,2020-03-03,Terminated
078-2019,"Misbranding, Unreported Allergens","Home Market Foods, Inc.","Connecticut, Florida, Georgia, Maine, Maryland, Massachusetts, New Hampshire, New York, North Carolina, Rhode Island",2019-07-25,2019-10-04,Terminated
077-2019,"Misbranding, Unreported Allergens","CM & R, Inc.",Minnesota,2019-07-24,2019-11-22,Terminated
076-2019,Product Contamination,US Foods Inc.,"Florida, Alabama, Florida, Georgia, Mississippi, Tennessee",2019-07-20,2019-09-18,Terminated
075-2019,"Misbranding, Unreported Allergens",Koch Foods,Minnesota,2019-07-18,2020-06-15,Terminated
074-2019,"Misbranding, Unreported Allergens","Fieldsource Food Systems, Inc.",California,2019-07-14,2019-08-30,Terminated
073-2019,Product Contamination,Ada Valley Gourmet Foods,"Arizona, California, Nevada",2019-07-13,2020-06-17,Terminated
072-2019,Product Contamination,"Fairmont Foods, Inc.",Louisiana,2019-07-09,2019-09-19,Terminated
071-2019,Mislabeling,San Guiseppe Salami Co. by Giacomo,North Carolina,2019-06-24,2020-05-19,Terminated
070-2019,Product Contamination,NA,New York,2019-06-20,2019-07-15,Terminated
069-2019,Product Contamination,"Ruiz Food Products, Inc.",NA,2019-06-14,2020-02-13,Terminated
065-2019 EXP,Produced Without Benefit of Inspection,"Table 87 Frozen, LLC",NA,2019-06-14,2019-08-02,Terminated
068-2019,Produced Without Benefit of Inspection,NA,Texas,2019-06-12,2020-02-13,Terminated
067-2019,"Misbranding, Unreported Allergens","Taylor Farms Illinois, Inc","Arkansas, Georgia, Kentucky, Mississippi, Ohio, Tennessee, Virginia, West Virginia",2019-06-09,2019-09-19,Terminated
066-2019,Product Contamination,Tyson Foods Inc.,NA,2019-06-07,2019-10-25,Terminated
065-2019,Produced Without Benefit of Inspection,"Table 87 Frozen, LLC",NA,2019-06-06,2019-08-02,Terminated
062-2019,Produced Without Benefit of Inspection,Los Hernandez Tamales LLC,Washington,2019-05-31,2019-09-19,Terminated
064-2019,Product Contamination,"PERDUE FOODS, LLC.",NA,2019-05-31,2019-10-23,Terminated
063-2019,Product Contamination,"Johnsonville, LLC",NA,2019-05-31,2019-10-10,Terminated
061-2019,Produced Without Benefit of Inspection,NA,NA,2019-05-29,2019-08-12,Terminated
060-2019,"Produced Without Benefit of Inspection, Import Violation",NA,NA,2019-05-28,2019-07-11,Terminated
059-2019,"Produced Without Benefit of Inspection, Import Violation",NA,California,2019-05-24,2019-06-05,Terminated
058-2019,Product Contamination,Blount Fine Foods Corp.,"Arizona, Florida, Georgia",2019-05-23,2019-06-26,Terminated
057-2019,Product Contamination,"Aurora Packing Company, Inc.",NA,2019-05-22,2019-08-14,Terminated
056-2019,Produced Without Benefit of Inspection,"BEF Foods, Inc.","Alabama, Georgia, Illinois, Indiana, Kentucky, Michigan, Ohio",2019-05-21,2020-05-19,Terminated
055-2019,Product Contamination,Vienna Beef Ltd.,"Illinois, Indiana, Wisconsin",2019-05-18,NA,Ongoing
054-2019,"Misbranding, Unreported Allergens","Caito Foods, LLC","Illinois, Indiana, Kentucky, Michigan, Ohio",2019-05-17,NA,Ongoing
053-2019,"Misbranding, Unreported Allergens",MIBO Fresh Foods LLC,Texas,2019-05-15,2019-12-23,Terminated
052-2019,Produced Without Benefit of Inspection,NA,California,2019-05-15,2019-12-23,Terminated
051-2019,"Misbranding, Unreported Allergens","Taylor Farms TX, Inc.",Texas,2019-05-14,2019-06-26,Terminated
050-2019,"Misbranding, Unreported Allergens","Santa Fe Importers, Inc.",California,2019-05-07,2019-06-11,Terminated
049-2019,"Misbranding, Unreported Allergens","ConAgra Brands, Inc.",NA,2019-05-04,2021-04-06,Terminated
034-2019 EXP,Product Contamination,"Tyson Poultry, Inc.",NA,2019-05-04,2021-03-11,Terminated
048-2019,Product Contamination,Grant Park Packing,"Kentucky, Minnesota",2019-04-24,2020-03-05,Terminated
047-2019,Product Contamination,Miniat Foods LLC,"Florida, Georgia",2019-04-23,2019-11-22,Terminated
046-2019,Produced Without Benefit of Inspection,JBS USA,"Colorado, Kansas, New Mexico, Utah, Wyoming",2019-04-12,2019-05-13,Terminated
045-2019,Mislabeling,Yoakum Packing Co.,Texas,2019-04-10,2020-06-24,Terminated
044-2019,Product Contamination,Great American Marketing Co.,Texas,2019-04-09,2019-12-03,Terminated
043-2019,Product Contamination,"JBS Plainwell, Inc.","Michigan, Wisconsin",2019-04-08,2019-07-17,Terminated
042-2019,Product Contamination,J&J Snack Foods Handhelds Corp.,NA,2019-04-05,2020-05-13,Terminated
041-2019,"Misbranding, Unreported Allergens",Blount Fine Foods,NA,2019-04-04,2019-06-06,Terminated
040-2019,Product Contamination,"AdvancePierre Foods, Inc.",NA,2019-04-02,2019-05-31,Terminated
039-2019,"Misbranding, Unreported Allergens",NA,Oregon,2019-03-30,2019-06-17,Terminated
038-2019,Product Contamination,"Aurora Packing Company, Inc.","Illinois, Iowa, Wisconsin",2019-03-26,NA,Ongoing
036-2019,"Misbranding, Unreported Allergens","Tip Top Poultry, Inc.",Michigan,2019-03-23,2020-02-12,Terminated
037-2019,Product Contamination,North Country Smokehouse,NA,2019-03-23,2019-07-24,Terminated
035-2019,Produced Without Benefit of Inspection,Two Brothers Pork Skins,"North Carolina, South Carolina",2019-03-22,NA,Ongoing
034-2019,Product Contamination,"Tyson Poultry, Inc.","Michigan, Washington",2019-03-21,2021-03-11,Terminated
033-2019,Product Contamination,NA,Illinois,2019-03-19,2019-12-23,Terminated
032-2019,Product Contamination,"Procesadora La Hacienda, Inc.",Puerto Rico,2019-03-15,2019-12-05,Terminated
031-2019,Product Contamination,"Productos La Aguadillana, Inc.",Puerto Rico,2019-03-14,2019-11-27,Terminated
030-2019,Product Contamination,"Butterball, LLC",NA,2019-03-13,2020-03-20,Terminated
029-2019,Product Contamination,"Monogram Meat Snacks, LLC",NA,2019-03-13,2020-03-24,Terminated
028-2019,Misbranding,North Country Smokehouse,NA,2019-03-12,2019-07-24,Terminated
027-2019,"Misbranding, Unreported Allergens","LSI Specialty Meats, LLC","Florida, Georgia",2019-03-12,2019-05-06,Terminated
026-2019,"Misbranding, Unreported Allergens",Choice Canning Company Inc.,"California, Connecticut, Florida, Georgia, Minnesota, New York, Pennsylvania, Texas, Virginia",2019-03-11,2019-06-05,Terminated
025-2019,"Misbranding, Unreported Allergens","ConAgra Brands, Inc.","Florida, Kentucky, New York",2019-03-09,2019-06-05,Terminated
024-2019,Product Contamination,"Washington Beef, LLC",Washington,2019-03-02,2019-07-23,Terminated
023-2019,Produced Without Benefit of Inspection,"McAllen Cold Storage, Ltd.",Texas,2019-02-26,2019-03-28,Terminated
022-2019,Product Contamination,"Sahlen Packing Company, Inc.","Connecticut, Massachusetts, New Hampshire, New York, Pennsylvania, Vermont",2019-02-26,2019-06-05,Terminated
021-2019,"Misbranding, Unreported Allergens","Russ Davis Wholesale, Inc.",Iowa,2019-02-25,2019-05-13,Terminated
020-2019,Product Contamination,"Bellisio Foods, Inc.",Arizona,2019-02-23,2020-06-10,Terminated
019-2019,Produced Without Benefit of Inspection,NA,Texas,2019-02-22,2020-02-14,Terminated
018-2019,Produced Without Benefit of Inspection,NA,Illinois,2019-02-22,2020-05-19,Terminated
017-2019,"Misbranding, Unreported Allergens",J Bar B Foods,Texas,2019-02-21,2019-05-06,Terminated
016-2019,Product Contamination,"Lean Culinary Services, LLC",Florida,2019-02-19,2019-04-02,Terminated
015-2019,Processing Defect,Panola County Processing LLC,Texas,2019-02-11,2019-11-27,Terminated
014-2019,"Misbranding, Unreported Allergens","VICS Acquisition, LLC","Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina",2019-02-10,2019-11-26,Terminated
013-2019,"Produced Without Benefit of Inspection, Import Violation",NA,NA,2019-02-05,2019-04-15,Terminated
012-2019,Produced Without Benefit of Inspection,NA,California,2019-02-04,2019-03-05,Terminated
011-2019,"Misbranding, Unreported Allergens","Taylor Farms TX, Inc.",Texas,2019-02-02,2019-05-13,Terminated
010-2019,Product Contamination,Pilgrim's Pride Corporation,Florida,2019-02-01,2019-05-06,Terminated
009-2019,Product Contamination,"Tyson Poultry, Inc.",NA,2019-01-29,2019-05-06,Terminated
008-2019,"Misbranding, Unreported Allergens","PERDUE FOODS, LLC.","Connecticut, Delaware, Maine, Maryland, Massachusetts, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, Virginia, Washington, West Virginia",2019-01-28,2019-03-05,Terminated
007-2019,"Misbranding, Unreported Allergens",Harvest Food Group,"Illinois, Michigan",2019-01-25,NA,Ongoing
006-2019,Produced Without Benefit of Inspection,Stino Da Napoli,Ohio,2019-01-23,2020-06-08,Terminated
005-2019,"Misbranding, Unreported Allergens",Custom Made Meals,"Illinois, Wisconsin",2019-01-18,2019-03-28,Terminated
004-2019,Produced Without Benefit of Inspection,NA,"California, Nevada, Texas",2019-01-18,2019-04-15,Terminated
003-2019,Product Contamination,"Johnsonville, LLC",NA,2019-01-18,2019-05-08,Terminated
002-2019,Product Contamination,Perdue Foods LLC,NA,2019-01-17,2019-03-08,Terminated
001-2019,Product Contamination,"HK Cooperative, Inc.","Kentucky, Ohio, Pennsylvania",2019-01-09,2020-02-14,Terminated
125-2018,Product Contamination,R. L. Zeigler Co. Inc.,NA,2018-12-30,2019-04-05,Terminated
124-2018,Product Contamination,Jennie-O Turkey Store,NA,2018-12-21,2019-05-06,Terminated
123-2018,"Misbranding, Unreported Allergens","Russ Davis Wholesale, Inc.",New Mexico,2018-12-18,2019-01-14,Terminated
122-2018,Produced Without Benefit of Inspection,NA,NA,2018-12-15,2019-04-19,Terminated
121-2018,NA,NA,"Massachusetts, Vermont",2018-12-13,2019-02-27,Terminated
120-2018,Product Contamination,CTI Foods LLC.,Tennessee,2018-12-10,2020-02-14,Terminated
119-2018,NA,NA,Ohio,2018-12-09,2018-12-14,Terminated
118-2018,NA,NA,New Jersey,2018-12-07,2019-04-15,Terminated
085-2018 EXP,Product Contamination,JBS Tolleson Inc.,NA,2018-12-04,2019-04-16,Terminated
117-2018,NA,NA,NA,2018-11-23,2019-01-23,Terminated
116-2018,Product Contamination,165368 C. Corporation,NA,2018-11-20,2020-01-22,Terminated
115-2018,"Misbranding, Unreported Allergens",NA,Utah,2018-11-19,2019-01-03,Terminated
114-2018,Product Contamination,Swift Beef Company,"California, Nevada, Oregon, Utah, Washington",2018-11-17,2020-02-14,Terminated
113-2018,Product Contamination,Majestic Meat Company,Utah,2018-11-16,2019-04-26,Terminated
112-2018,Product Contamination,NA,NA,2018-11-15,2019-05-06,Terminated
111-2018,Product Contamination,Ron's Home Style Foods,Texas,2018-11-14,2020-02-14,Terminated
110-2018,"Misbranding, Unreported Allergens",NuVue Foods,"Indiana, Michigan, Ohio",2018-11-09,2018-12-18,Terminated
109-2018,Product Contamination,Ganaderos Borges Inc.,Puerto Rico,2018-11-06,2019-09-19,Terminated
108-2018,NA,NA,"Florida, Illinois, Maryland, Massachusetts, Pennsylvania",2018-10-31,2018-12-04,Terminated
107-2018,Product Contamination,"Procesadora La Hacienda, Inc.",Puerto Rico,2018-10-31,2019-05-06,Terminated
106-2018,"Misbranding, Unreported Allergens",NA,"Maryland, New Jersey, New York, Ohio, Pennsylvania",2018-10-27,2019-10-10,Terminated
105-2018,Produced Without Benefit of Inspection,Suzanna's Kitchen Inc.,NA,2018-10-26,2019-08-13,Terminated
104-2018,Misbranding,NA,NA,2018-10-25,2019-08-30,Terminated
103-2018,NA,NA,NA,2018-10-21,2019-10-10,Terminated
100-2018,Product Contamination,NA,NA,2018-10-19,2019-01-02,Terminated
098-2018,Product Contamination,"Ruiz Food Products, Inc.",NA,2018-10-19,2019-07-24,Terminated
101-2018,NA,"Buddy's Kitchen, Inc.","Arizona, California, Georgia, Illinois, Minnesota, Missouri, New Jersey",2018-10-19,2019-04-10,Terminated
097-2018,Product Contamination,"GHSW, LLC","Colorado, Louisiana, New Mexico, Oklahoma, Tennessee, Texas",2018-10-19,2019-07-17,Terminated
102-2018,Product Contamination,SK Food Group,"California, Colorado, Florida, Hawaii, Idaho, Illinois, Maryland, Michigan, North Carolina, Ohio, Oregon, Pennsylvania, Texas",2018-10-19,2020-04-09,Terminated
099-2018,Product Contamination,"Caito Foods, LLC","Illinois, Indiana, Michigan, Minnesota, Missouri",2018-10-19,2020-05-04,Terminated
096-2018,Product Contamination,"GHSE, LLC","Florida, Georgia, South Carolina",2018-10-17,2019-08-13,Terminated
095-2018,Product Contamination,Taylor Farms Northwest LLC,"Oregon, Washington",2018-10-17,2018-12-07,Terminated
094-2018,Product Contamination,"Mary's Harvest Fresh Foods, Inc.","Idaho, Oregon, Washington",2018-10-17,2018-11-20,Terminated
093-2018,Product Contamination,"GH Foods CA, LLC",California,2018-10-17,2018-11-20,Terminated
092-2018,Product Contamination,NA,Texas,2018-10-16,2019-03-01,Terminated
091-2018,Produced Without Benefit of Inspection,"A La Carte Foods Properties, LLC","Louisiana, Texas",2018-10-15,2019-01-02,Terminated
089-2018,Processing Defect,NA,Tennessee,2018-10-11,2018-11-05,Terminated
090-2018,Product Contamination,NA,"California, Connecticut, Maryland, Massachusetts, Michigan, North Carolina",2018-10-11,2020-05-01,Terminated
088-2018,Product Contamination,"Malone's Fine Sausage, Inc.","Illinois, Michigan, Wisconsin",2018-10-10,2020-02-14,Terminated
086-2018,"Misbranding, Unreported Allergens",Compass Group/Canteen,"Maryland, New Jersey, New York, Pennsylvania",2018-10-05,2018-11-07,Terminated
087-2018,Product Contamination,Ukrop's Homestyle Foods,"Kentucky, Ohio, Tennessee, Virginia, West Virginia",2018-10-05,2020-05-01,Terminated
085-2018,Product Contamination,JBS Tolleson Inc.,NA,2018-10-04,2019-04-16,Terminated
084-2018,Product Contamination,NA,"Maryland, New York, North Carolina, South Carolina, Virginia",2018-10-03,2020-05-27,Terminated
083-2018,Product Contamination,Junior's Smokehouse Processing Plant,Texas,2018-09-21,2019-02-27,Terminated
082-2018,Unfit for Human Consumption,Zweigle's Inc.,New York,2018-09-20,2018-11-08,Terminated
081-2018,Product Contamination,Cargill Meat Solutions,NA,2018-09-19,2019-04-26,Terminated
080-2018,Product Contamination,"BEF Foods, Inc.",Ohio,2018-09-13,2020-08-13,Terminated
079-2018,Produced Without Benefit of Inspection,NA,"Maryland, Massachusetts, Minnesota, New Jersey, New York",2018-09-12,2018-09-28,Terminated
078-2018,NA,CTI Foods LLC.,Ohio,2018-09-11,2018-10-24,Terminated
077-2018,"Misbranding, Unreported Allergens",NEW YORK STYLE SAUSAGE CO.,NA,2018-09-05,2018-10-29,Terminated
076-2018,Product Contamination,Wayne Farms LLC,NA,2018-09-05,2018-12-13,Terminated
075-2018,"Misbranding, Unreported Allergens","Caito Foods, LLC","Illinois, Indiana, Kentucky, Ohio",2018-09-05,2020-05-04,Terminated
074-2018,Produced Without Benefit of Inspection,"Bahar, LLC",New Jersey,2018-09-04,2018-10-29,Terminated
073-2018,Product Contamination,J T M Provisions Company,California,2018-08-31,2018-11-05,Terminated
072-2018,Product Contamination,"Publix Supermarkets, Inc., Deli Plant",Florida,2018-08-30,2019-04-26,Terminated
071-2018,Produced Without Benefit of Inspection,NA,Texas,2018-08-29,2020-02-14,Terminated
070-2018,"Misbranding, Unreported Allergens","Taylor Farms Illinois, Inc","Alabama, Arkansas, Kentucky, Mississippi, Ohio, Tennessee",2018-08-29,2018-12-13,Terminated
PHA-08242018-01,Product Contamination,NA,NA,2018-08-24,NA,Ongoing
069-2018,Product Contamination,Cargill Meat Solutions,"California, Colorado",2018-08-23,2019-04-26,Terminated
068-2018,"Misbranding, Unreported Allergens",Taylor Farms Northwest LLC,"Oregon, Washington",2018-08-21,2018-10-29,Terminated
067-2018,Mislabeling,Stone Ridge Wholesale Division LLC,Wisconsin,2018-08-06,2018-10-02,Terminated
066-2018,"Misbranding, Unreported Allergens",Star Natural Meats LLC,NA,2018-08-03,2018-09-18,Terminated
065-2018,Product Contamination,"Van Oriental Food, Inc.",NA,2018-08-03,2018-09-18,Terminated
pha-07302018-1,Product Contamination,"Caito Foods, LLC",NA,2018-07-30,NA,Ongoing
pha-07202018-1,Product Contamination,NA,NA,2018-07-20,NA,Ongoing
064-2018,NA,NA,NA,2018-07-18,2019-04-26,Terminated
063-2018,NA,Smithfield Packaged Meats Corp.,NA,2018-07-17,2019-03-01,Terminated
062-2018,"Misbranding, Unreported Allergens",NA,"Oregon, Washington",2018-07-16,2018-08-03,Terminated
061-2018,NA,NA,"Oregon, Washington",2018-07-14,2018-07-30,Terminated
060-2018,Produced Without Benefit of Inspection,Afandina Halal,New York,2018-07-09,2018-07-30,Terminated
059-2018,Misbranding,"Tillamook Country Smoker, LLC","North Carolina, Utah",2018-07-06,2018-08-17,Terminated
058-2018,Misbranding,"Nueske's Meat Products, Inc.",NA,2018-07-02,2018-09-10,Terminated
057-2018,Unreported Allergens,L&D Market Inc.,Massachusetts,2018-06-29,2018-08-30,Terminated
056-2018,Processing Defect,Aunt Kitty's Foods Inc,"New Jersey, New York",2018-06-26,2019-11-27,Terminated
055-2018,Produced Without Benefit of Inspection,"People's Sausage Company, Inc.",Montana,2018-06-25,2018-10-29,Terminated
054-2018,Misbranding,"Land O'Frost, Inc.","Arizona, California, Oregon, Texas, Washington",2018-06-25,2018-07-31,Terminated
053-2018,Produced Without Benefit of Inspection,The Quay Corporation,Texas,2018-06-22,2019-03-01,Terminated
052-2018,NA,"Agri Star Meat and Poultry, LLC","California, Florida, Illinois, New York, Washington",2018-06-21,2018-11-09,Terminated
051-2018,Product Contamination,Texas Natural Meats,Texas,2018-06-20,2019-01-24,Terminated
050-2018,Misbranding,Winter Sausage Manufacturing Company Inc.,"Illinois, Michigan, Pennsylvania",2018-06-14,2018-09-28,Terminated
046-2018-EXP,Produced Without Benefit of Inspection,NA,"Rhode Island, Massachusetts, Rhode Island",2018-06-13,2018-06-22,Terminated
049-2018,Produced Without Benefit of Inspection,NA,Puerto Rico,2018-06-13,2019-11-14,Terminated
048-2018,Misbranding,J Bar B Foods,Texas,2018-06-12,2018-09-28,Terminated
047-2018,Product Contamination,NA,NA,2018-06-08,2018-08-06,Terminated
046-2018,Produced Without Benefit of Inspection,NA,"Massachusetts, Rhode Island",2018-06-08,2018-06-22,Terminated
044-2018 Expansion,Produced Without Benefit of Inspection,NA,Puerto Rico,2018-06-07,2019-01-08,Terminated
045-2018,Product Contamination,"Goodman Food Products, Texas Inc.","Connecticut, Maine",2018-06-04,2018-07-12,Terminated
044-2018,Produced Without Benefit of Inspection,NA,Puerto Rico,2018-06-01,2019-01-08,Terminated
043-2018,Product Contamination,"Eddy Packing Co., Inc.",Texas,2018-05-31,2019-01-24,Terminated
042-2018,Product Contamination,"Ruiz Food Products, Inc.",NA,2018-05-31,2018-10-29,Terminated
041-2018,Product Contamination,NA,Guam,2018-05-26,2018-08-09,Terminated
040-2018,Misbranding,Uno Foods Inc.,NA,2018-05-23,2018-06-27,Terminated
039-2018,NA,Hempler Foods Group LLC,"California, Oregon, Utah, Washington",2018-05-18,2018-07-02,Terminated
038-2018,"Misbranding, Unreported Allergens",Kent Quality Foods Inc.,NA,2018-05-16,2019-08-01,Terminated
037-2018,"Misbranding, Unreported Allergens",Blount Fine Foods,"Connecticut, Massachusetts, New Jersey",2018-05-16,2018-06-28,Terminated
036-2018,Product Contamination,"Eddy Packing Co., Inc.","California, Georgia, Illinois, New Mexico, Oklahoma, Texas",2018-05-04,2019-04-04,Terminated
035-2018,Product Contamination,"JBS Lenoir, Inc","Indiana, Virginia",2018-05-02,2018-06-01,Terminated
034-2018,NA,NA,NA,2018-04-28,2018-09-28,Terminated
033-2018,Product Contamination,Fresh Food Manufacturing Company,"Indiana, Ohio, Pennsylvania, Virginia, West Virginia",2018-04-14,2018-05-30,Terminated
032-2018,Product Contamination,Koch Foods,NA,2018-04-11,2018-07-06,Terminated
031-2018,Product Contamination,"ConAgra Brands, Inc.",NA,2018-04-11,2018-09-13,Terminated
030-2018,Product Contamination,J.T.M. Provisions Company,"Indiana, Kentucky, Ohio",2018-04-07,2018-05-30,Terminated
029-2018,"Misbranding, Unreported Allergens","Good Foods Group, LLC","Illinois, Indiana, Kansas, Minnesota, Missouri, Nebraska, Wisconsin",2018-04-03,2018-05-30,Terminated
028-2018,Produced Without Benefit of Inspection,"Patterson TMP Operating, LLC","Alabama, Arkansas, Indiana, Louisiana, Mississippi, Missouri, Oklahoma, Texas, Wisconsin",2018-03-31,2018-07-12,Terminated
027-2018,NA,NA,Hawaii,2018-03-29,2018-04-18,Terminated
026-2018,Product Contamination,Tony Downs Foods Company,NA,2018-03-28,2018-04-25,Terminated
025-2018,Processing Defect,"California Jerky Factory, Inc.","California, Hawaii, Nevada",2018-03-21,2018-04-25,Terminated
024-2018,Produced Without Benefit of Inspection,"Mickey Brown, Inc.",Louisiana,2018-03-20,2019-01-25,Terminated
023-2018,Product Contamination,"Stampede Meat, Inc.",NA,2018-03-16,2019-12-13,Terminated
022-2018,Product Contamination,Standard Meat Company,NA,2018-03-15,2018-07-16,Terminated
021-2018,Product Contamination,"Johnsonville, LLC",NA,2018-03-15,2020-02-14,Terminated
020-2018,Product Contamination,Heartland Catfish Company,"Alabama, Arizona, Arkansas, Colorado, Illinois, Texas, Vermont",2018-03-09,2018-06-01,Terminated
019-2018,Product Contamination,"Interstate Meat Dist., Inc.","Oregon, Utah, Washington",2018-03-03,2019-04-26,Terminated
018-2018,Product Contamination,OLLI SALUMERIA AMERICANA,NA,2018-03-02,2018-05-31,Terminated
017-2018,Produced Without Benefit of Inspection,NA,"Kansas, Missouri",2018-03-02,2019-02-27,Terminated
016-2018,Unreported Allergens,J Bar B Foods,"Arizona, California, Colorado, Utah, Virginia",2018-03-01,2018-05-30,Terminated
015-2018,Unreported Allergens,Sensenig Turkey Farm LLC,"Maryland, Massachusetts, New Jersey, Pennsylvania",2018-03-01,2018-05-30,Terminated
013-2018,Product Contamination,NA,"Illinois, Iowa, Minnesota, Nebraska, South Dakota",2018-02-21,2018-04-25,Terminated
014-2018,Unreported Allergens,A & A Finest,New York,2018-02-21,2018-03-15,Terminated
012-2018,Unreported Allergens,"Night Hawk Frozen Foods, Inc.","Louisiana, Texas",2018-02-20,2018-05-30,Terminated
011-2018,Product Contamination,Pilgrim's Pride Corporation,NA,2018-02-16,2018-05-30,Terminated
pha-02142018-07,Product Contamination,NA,"Iowa, Illinois, Minnesota, Nebraska, South Dakota",2018-02-14,NA,Ongoing
010-2018,Unreported Allergens,Saker Shoprites Inc,New Jersey,2018-02-14,2018-04-11,Terminated
008-2018,Produced Without Benefit of Inspection,NA,"Oregon, Washington",2018-02-06,2018-07-06,Terminated
009-2018,NA,"Guymon Extracts, Inc",NA,2018-02-06,2018-05-30,Terminated
007-2018,Unreported Allergens,"Whip City Jerky, LLC","Connecticut, Massachusetts",2018-02-01,2018-03-23,Terminated
pha-012418-01,Produced Without Benefit of Inspection,"Pigeon Caterers, Inc",Louisiana,2018-01-24,NA,Ongoing
006-2018,Product Contamination,NA,"Alabama, Florida, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Texas, Virginia",2018-01-24,2018-05-16,Terminated
005-2018,Unreported Allergens,Perdue Foods LLC,"Florida, Maryland, Washington",2018-01-23,2018-02-23,Terminated
004-2018,Unreported Allergens,CAFE SPICE LLC,NA,2018-01-18,2018-03-23,Terminated
003-2018,Misbranding,DiscoverFresh Foods,"Alabama, Georgia, North Carolina, South Carolina, Tennessee, Virginia",2018-01-18,2018-02-28,Terminated
002-2018,Processing Defect,Crescent City Meats,NA,2018-01-05,2019-01-24,Terminated
001-2018,Product Contamination,Hempler Foods Group LLC,Washington,2018-01-04,2018-12-03,Terminated
131-2017,Product Contamination,NA,Texas,2017-12-26,2018-07-24,Terminated
130-2017,"Misbranding, Unreported Allergens",NA,Texas,2017-12-21,2018-04-09,Terminated
129-2017,Product Contamination,NA,"California, Illinois, Michigan, New Jersey, New York",2017-12-16,2018-01-26,Terminated
128-2017,Product Contamination,"Santa Fe Importers, Inc.",California,2017-12-12,2018-01-23,Terminated
127-2017,"Misbranding, Unreported Allergens",NA,"Massachusetts, North Carolina, Utah, Virginia, Washington",2017-12-01,2018-01-26,Terminated
126-2017,"Misbranding, Unreported Allergens","Caesar's Pasta, LLC",Pennsylvania,2017-12-01,2018-04-05,Terminated
pha-112017,Product Contamination,Productos Dany Inc.,NA,2017-11-20,NA,Ongoing
125-2017,Product Contamination,NA,"Arizona, California, Colorado, Idaho, Louisiana, Nevada, New Mexico, Oklahoma, Oregon, Texas, Utah, Washington",2017-11-18,2018-02-28,Terminated
123-2017,"Produced Without Benefit of Inspection, Import Violation",NA,Puerto Rico,2017-11-16,2018-02-28,Terminated
124-2017,"Misbranding, Unreported Allergens",Missa Bay LLC,"Indiana, New Jersey",2017-11-16,2018-02-28,Terminated
122-2017,Product Contamination,Texas Natural Meats,Texas,2017-11-15,2019-01-24,Terminated
121-2017,Product Contamination,NA,California,2017-11-14,2017-12-26,Terminated
120-2017,Produced Without Benefit of Inspection,NA,"Iowa, North Dakota, South Dakota",2017-11-13,2017-12-06,Terminated
119-2017,Product Contamination,NA,NA,2017-11-09,2017-12-19,Terminated
118-2017,"Misbranding, Unreported Allergens",NA,NA,2017-11-08,2017-12-08,Terminated
117-2017,Produced Without Benefit of Inspection,NA,Ohio,2017-11-02,2017-12-26,Terminated
116-2017,Product Contamination,NA,"Colorado, New Mexico, Utah, Wyoming",2017-11-01,2017-11-28,Terminated
pha-103117,Product Contamination,Ghiringhelli Brothers,"Arizona, California, Nevada, Utah",2017-10-31,NA,Ongoing
115-2017,Product Contamination,"Taylor Farms Florida, Inc.",Florida,2017-10-28,2017-11-28,Terminated
pha-102517,Product Contamination,"Mary's Harvest Fresh Foods, Inc.","Oregon, Washington",2017-10-25,NA,Ongoing
114-2017,Product Contamination,NA,"Indiana, Ohio, Pennsylvania",2017-10-20,2017-11-16,Terminated
113-2017,"Misbranding, Unreported Allergens",NA,"Delaware, Florida, New Jersey, New York, Pennsylvania",2017-10-18,2017-12-12,Terminated
112-2017,Product Contamination,NA,"Illinois, Wisconsin",2017-10-17,2017-11-16,Terminated
111-2017,"Misbranding, Unreported Allergens","GB Green Gastronome, LLC","Ohio, Pennsylvania",2017-10-17,2017-11-28,Terminated
110-2017,Product Contamination,"Battistoni Italian Specialty Meats, LLC","Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Virginia",2017-10-13,2018-03-01,Terminated
108-2017,Product Contamination,NA,NA,2017-10-13,2018-01-18,Terminated
