case_number,recall_reason,establishment,states,date
007-2020-EXP,Product Contamination,"ConAgra Brands, Inc.",NA,"Fri, 05/22/2020 - Wed, 11/11/2020"
010-2020,Misbranding,Evans Food Group,NA,"Wed, 05/13/2020 - Thu, 07/16/2020"
009-2020,Produced Without Benefit of Inspection,Ideal Foods,California,"Tue, 05/12/2020 - Tue, 06/09/2020"
PHA-05122020-01,Product Contamination,P&S Ravioli,"New Jersey, Pennsylvania","Tue, 05/12/2020 - Current"
PHA-05022020,Mislabeling,"Roundy's Supermarkets, Inc.",NA,"Sat, 05/02/2020 - Current"
007-2020,Product Contamination,"ConAgra Brands, Inc.",NA,"Fri, 04/10/2020 - Wed, 12/09/2020"
008,Produced Without Benefit of Inspection,NA,"Illinois, Wisconsin","Fri, 04/10/2020 - Tue, 06/23/2020"
006-2020,"Misbranding, Unreported Allergens","Family Traditions Meat Company, Inc., Family Traditions Meat Company, Inc.","Illinois, Iowa, Kansas, Minnesota, Missouri, South Dakota, Wisconsin, Illinois, Iowa, Kansas, Minnesota, Missouri, South Dakota, Wisconsin","Sat, 02/08/2020 - Wed, 03/10/2021, Sat, 02/08/2020 - Wed, 03/10/2021"
005-2020,"Misbranding, Unreported Allergens","Pegasus Foods Inc., Pegasus Foods Inc.","NA, NA","Wed, 01/29/2020 - Tue, 04/14/2020, Wed, 01/29/2020 - Tue, 04/14/2020"
003-2020,Product Contamination,Amity Packing Co. Inc.,"Illinois, Indiana, Kentucky, Michigan, New Jersey, New York, Ohio, Pennsylvania, Wisconsin","Fri, 01/24/2020 - Wed, 02/03/2021"
004-2020,Import Violation,NA,"California, Hawaii, Nevada, New York, Oregon, Utah, Washington","Fri, 01/24/2020 - Fri, 05/15/2020"
002-2020,"Misbranding, Unreported Allergens","Ruiz Food Products, Inc., Ruiz Food Products, Inc.","NA, NA","Fri, 01/10/2020 - Mon, 05/18/2020, Fri, 01/10/2020 - Mon, 05/18/2020"
PHA-01092020-01,Misbranding,Carso's Pasta Company,Washington,"Thu, 01/09/2020 - Current"
001-2020,"Misbranding, Unreported Allergens","Kettle Cuisine Midco, LLC, Kettle Cuisine Midco, LLC","Connecticut, Maryland, New Jersey, New York, Pennsylvania, District of Columbia, Connecticut, Maryland, New Jersey, New York, Pennsylvania, District of Columbia","Fri, 01/03/2020 - Fri, 02/12/2021, Fri, 01/03/2020 - Fri, 02/12/2021"
PHA-01022020,Unfit for Human Consumption,Sun Foods,NA,"Thu, 01/02/2020 - Current"
124-2019,"Misbranding, Unreported Allergens","J&J Distributing, J&J Distributing","Minnesota, Minnesota","Mon, 12/30/2020 - Tue, 03/24/2020, Mon, 12/30/2020 - Tue, 03/24/2020"
123-2019,Product Contamination,"Advance Pierre Foods, Inc.",Iowa,"Fri, 12/20/2019 - Fri, 06/26/2020"
122-2019,Product Contamination,Ashland Sausage Company,"Illinois, New York","Fri, 12/20/2019 - Wed, 04/29/2020"
121-2019,Import Violation,NA,"California, Maryland, New Jersey","Thu, 12/19/2019 - Fri, 03/27/2020"
120-2019,Import Violation,NA,"New Jersey, New York, Virginia","Wed, 12/18/2019 - Wed, 03/04/2020"
pha-121319,Misbranding,NA,NA,"Fri, 12/13/2019 - Current"
119-2019,Product Contamination,"Ruiz Food Products, Inc.",NA,"Tue, 12/10/2019 - Sat, 04/25/2020"
118-2019,"Misbranding, Unreported Allergens","Blue Grass Provisions Co. Inc., Blue Grass Provisions Co. Inc.","Kentucky, Michigan, Ohio, Virginia, West Virginia, Kentucky, Michigan, Ohio, Virginia, West Virginia","Fri, 11/29/2019 - Tue, 03/17/2020, Fri, 11/29/2019 - Tue, 03/17/2020"
117-2019,Product Contamination,Ajinomoto Foods North America,"Florida, Georgia, Illinois, Maryland, Michigan, New Jersey, Texas","Fri, 11/22/2019 - Wed, 03/04/2020"
pha-112219,Product Contamination,Missa Bay LLC,California,"Fri, 11/22/2019 - Current"
115-2019,Product Contamination,Missa Bay LLC,"Alabama, Connecticut, Florida, Georgia, Illinois, Indiana, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, New Jersey, New York, North Carolina, Ohio, Pennsylvania, South Carolina, Virginia, Wisconsin","Thu, 11/21/2019 - Mon, 07/26/2021"
116-2019,Produced Without Benefit of Inspection,Morris Meat Packing,Illinois,"Thu, 11/21/2019 - Mon, 03/30/2020"
114-2019,Misbranding,BrucePac,California,"Tue, 11/19/2019 - Wed, 01/08/2020"
113-2019,Product Contamination,"Central Valley Meat Co., Inc.",California,"Fri, 11/15/2019 - Thu, 01/09/2020"
112-2019,"Misbranding, Unreported Allergens","CREATIVE FOOD PROCESSING, CREATIVE FOOD PROCESSING","California, California","Wed, 11/13/2019 - Wed, 01/08/2020, Wed, 11/13/2019 - Wed, 01/08/2020"
111-2019,Product Contamination,Ezzo Sausage Company,"Indiana, Ohio","Sat, 11/09/2019 - Tue, 02/04/2020"
110-2019,Import Violation,NA,"Massachusetts, New Jersey, New York, Pennsylvania","Fri, 11/08/2019 - Tue, 01/05/2021"
pha-110819,Product Contamination,NA,NA,"Fri, 11/08/2019 - Current"
109-2019,Product Contamination,Rastelli,"Colorado, Connecticut, Georgia, Illinois, Maryland","Thu, 11/07/2019 - Mon, 07/26/2021"
108-2019,Product Contamination,"Simmons Prepared Foods, Inc.","Alabama, Arizona, Arkansas, California, Georgia, Minnesota, Oklahoma, Pennsylvania","Wed, 11/06/2019 - Current"
107-2019,Mislabeling,Padrino Foods LLC,"Kansas, Louisiana, Oklahoma, Texas","Mon, 11/04/2019 - Thu, 12/05/2019"
106-2019,Import Violation,NA,California,"Mon, 11/04/2019 - Wed, 05/06/2020"
pha-110219-01,Misbranding,NEW YORK STYLE SAUSAGE CO.,California,"Sat, 11/02/2019 - Current"
105-2019,Produced Without Benefit of Inspection,NA,"Florida, Georgia, Louisiana, South Carolina","Tue, 10/29/2019 - Current"
104-2019,Product Contamination,"OSI Industries, LLC","Iowa, Wisconsin","Mon, 10/28/2019 - Fri, 12/13/2019"
103-2019,Mislabeling,"Taylor's Sausage, Inc.","California, Oregon","Fri, 10/25/2019 - Mon, 12/09/2019"
102-2019,Product Contamination,"Gold Creek Foods, LLC",NA,"Fri, 10/18/2019 - Fri, 12/06/2019"
100-2019,Insanitary Conditions,T&R Enterprise USA Inc.,"Georgia, Missouri","Fri, 10/18/2019 - Wed, 03/17/2021"
101-2019,Product Contamination,Pride Enterprise Food Products,Florida,"Fri, 10/18/2019 - Wed, 02/03/2021"
099-2019,"Mislabeling, Unreported Allergens","MawMaw's Chicken Pies, MawMaw's Chicken Pies","North Carolina, North Carolina","Fri, 10/18/2019 - Tue, 05/19/2020, Fri, 10/18/2019 - Tue, 05/19/2020"
098-2019,Import Violation,NA,Texas,"Thu, 10/17/2019 - Thu, 12/26/2019"
pha-101619-01,Product Contamination,NA,"Connecticut, Illinois, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont","Wed, 10/16/2019 - Current"
097-2019,Product Contamination,"Kenosha Beef International, Ltd.",NA,"Mon, 10/14/2019 - Thu, 04/02/2020"
096-2019,Mislabeling,"YouBite, LLC",California,"Fri, 10/11/2019 - Thu, 01/09/2020"
094-2019,Product Contamination,"Tip Top Poultry, Inc.",NA,"Sat, 09/28/2019 - Wed, 10/13/2021"
095-2019,Product Contamination,NA,Indiana,"Sat, 09/28/2019 - Mon, 06/15/2020"
093-2019,"Misbranding, Unreported Allergens","Pegasus Foods Inc., Pegasus Foods Inc.","Colorado, Delaware, Maine, Michigan, New York, North Carolina, Pennsylvania, Utah, Virginia, Washington, Colorado, Delaware, Maine, Michigan, New York, North Carolina, Pennsylvania, Utah, Virginia, Washington","Fri, 09/20/2019 - Tue, 02/04/2020, Fri, 09/20/2019 - Tue, 02/04/2020"
092-2019,"Misbranding, Unreported Allergens","Perdue Foods LLC, Perdue Foods LLC","Florida, Georgia, North Carolina, Ohio, Pennsylvania, Florida, Georgia, North Carolina, Ohio, Pennsylvania","Tue, 09/17/2019 - Thu, 11/14/2019, Tue, 09/17/2019 - Thu, 11/14/2019"
091-2019,"Misbranding, Unreported Allergens","HY-VEE FRESH COMMISSARY, HY-VEE FRESH COMMISSARY","Illinois, Iowa, Kansas, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin, Illinois, Iowa, Kansas, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin","Tue, 09/10/2019 - Wed, 01/29/2020, Tue, 09/10/2019 - Wed, 01/29/2020"
090-2019,Import Violation,NA,"New York, Pennsylvania","Thu, 09/05/2019 - Mon, 09/23/2019"
089-2019,Unfit for Human Consumption,"American Beef Packers, Inc.","California, Oregon","Sat, 08/31/2019 - Thu, 12/05/2019"
088-2019,Misbranding,Heatherfield Foods Inc.,Hawaii,"Fri, 08/30/2019 - Fri, 10/25/2019"
087-2019,"Misbranding, Unreported Allergens","Bakkavor Foods USA, Inc. - Texas, Bakkavor Foods USA, Inc. - Texas","Texas, Texas","Wed, 08/28/2019 - Wed, 11/06/2019, Wed, 08/28/2019 - Wed, 11/06/2019"
086-2019,"Misbranding, Unreported Allergens","Olympia Meats, Olympia Meats","California, Oregon, Washington, California, Oregon, Washington","Sat, 08/24/2019 - Mon, 09/23/2019, Sat, 08/24/2019 - Mon, 09/23/2019"
085-2019,Product Contamination,"Tip Top Poultry, Inc.",NA,"Tue, 08/20/2019 - Wed, 09/09/2020"
084-2019,Product Contamination,"Tyson Foods, Inc.",NA,"Thu, 08/15/2019 - Wed, 09/09/2020"
083-2019,Processing Defect,"Taylor Farms Illinois, Inc","Arkansas, Michigan, Mississippi, Ohio, Tennessee, Virginia, West Virginia","Fri, 08/09/2019 - Thu, 04/30/2020"
082-2019,Produced Without Benefit of Inspection,Top Taste Food Inc.,New York,"Tue, 08/06/2019 - Tue, 11/26/2019"
081-2019,Processing Defect,"ConAgra Brands, Inc.","Indiana, Kentucky, Maryland, Texas","Wed, 07/31/2019 - Thu, 02/13/2020"
080-2019,Produced Without Benefit of Inspection,NA,"Colorado, Connecticut, Florida, Georgia, Illinois, Michigan, New Jersey, New York, Pennsylvania","Sat, 07/27/2019 - Thu, 05/07/2020"
079-2019,Product Contamination,Kent Quality Foods Inc.,"California, Utah","Fri, 07/26/2019 - Tue, 03/03/2020"
078-2019,"Misbranding, Unreported Allergens","Home Market Foods, Inc., Home Market Foods, Inc.","Connecticut, Florida, Georgia, Maine, Maryland, Massachusetts, New Hampshire, New York, North Carolina, Rhode Island, Connecticut, Florida, Georgia, Maine, Maryland, Massachusetts, New Hampshire, New York, North Carolina, Rhode Island","Thu, 07/25/2019 - Fri, 10/04/2019, Thu, 07/25/2019 - Fri, 10/04/2019"
077-2019,"Misbranding, Unreported Allergens","CM & R, Inc., CM & R, Inc.","Minnesota, Minnesota","Wed, 07/24/2019 - Fri, 11/22/2019, Wed, 07/24/2019 - Fri, 11/22/2019"
076-2019,Product Contamination,US Foods Inc.,"Florida, Alabama, Florida, Georgia, Mississippi, Tennessee","Sat, 07/20/2019 - Wed, 09/18/2019"
075-2019,"Misbranding, Unreported Allergens","Koch Foods, Koch Foods","Minnesota, Minnesota","Thu, 07/18/2019 - Mon, 06/15/2020, Thu, 07/18/2019 - Mon, 06/15/2020"
074-2019,"Misbranding, Unreported Allergens","Fieldsource Food Systems, Inc., Fieldsource Food Systems, Inc.","California, California","Sun, 07/14/2019 - Fri, 08/30/2019, Sun, 07/14/2019 - Fri, 08/30/2019"
073-2019,Product Contamination,Ada Valley Gourmet Foods,"Arizona, California, Nevada","Sat, 07/13/2019 - Wed, 06/17/2020"
072-2019,Product Contamination,"Fairmont Foods, Inc.",Louisiana,"Tue, 07/09/2019 - Thu, 09/19/2019"
071-2019,Mislabeling,San Guiseppe Salami Co. by Giacomo,North Carolina,"Mon, 06/24/2019 - Tue, 05/19/2020"
070-2019,Product Contamination,NA,New York,"Thu, 06/20/2019 - Mon, 07/15/2019"
069-2019,Product Contamination,"Ruiz Food Products, Inc.",NA,"Fri, 06/14/2019 - Thu, 02/13/2020"
065-2019 EXP,Produced Without Benefit of Inspection,"Table 87 Frozen, LLC",NA,"Fri, 06/14/2019 - Fri, 08/02/2019"
068-2019,Produced Without Benefit of Inspection,NA,Texas,"Wed, 06/12/2019 - Thu, 02/13/2020"
067-2019,"Misbranding, Unreported Allergens","Taylor Farms Illinois, Inc, Taylor Farms Illinois, Inc","Arkansas, Georgia, Kentucky, Mississippi, Ohio, Tennessee, Virginia, West Virginia, Arkansas, Georgia, Kentucky, Mississippi, Ohio, Tennessee, Virginia, West Virginia","Sun, 06/09/2019 - Thu, 09/19/2019, Sun, 06/09/2019 - Thu, 09/19/2019"
066-2019,Product Contamination,Tyson Foods Inc.,NA,"Fri, 06/07/2019 - Fri, 10/25/2019"
065-2019,Produced Without Benefit of Inspection,"Table 87 Frozen, LLC",NA,"Thu, 06/06/2019 - Fri, 08/02/2019"
062-2019,Produced Without Benefit of Inspection,Los Hernandez Tamales LLC,Washington,"Fri, 05/31/2019 - Thu, 09/19/2019"
064-2019,Product Contamination,"PERDUE FOODS, LLC.",NA,"Fri, 05/31/2019 - Wed, 10/23/2019"
063-2019,Product Contamination,"Johnsonville, LLC",NA,"Fri, 05/31/2019 - Thu, 10/10/2019"
061-2019,Produced Without Benefit of Inspection,NA,NA,"Wed, 05/29/2019 - Mon, 08/12/2019"
060-2019,"Produced Without Benefit of Inspection, Import Violation","NA, NA","NA, NA","Tue, 05/28/2019 - Thu, 07/11/2019, Tue, 05/28/2019 - Thu, 07/11/2019"
059-2019,"Produced Without Benefit of Inspection, Import Violation","NA, NA","California, California","Fri, 05/24/2019 - Wed, 06/05/2019, Fri, 05/24/2019 - Wed, 06/05/2019"
058-2019,Product Contamination,Blount Fine Foods Corp.,"Arizona, Florida, Georgia","Thu, 05/23/2019 - Wed, 06/26/2019"
057-2019,Product Contamination,"Aurora Packing Company, Inc.",NA,"Wed, 05/22/2019 - Wed, 08/14/2019"
056-2019,Produced Without Benefit of Inspection,"BEF Foods, Inc.","Alabama, Georgia, Illinois, Indiana, Kentucky, Michigan, Ohio","Tue, 05/21/2019 - Tue, 05/19/2020"
055-2019,Product Contamination,Vienna Beef Ltd.,"Illinois, Indiana, Wisconsin","Sat, 05/18/2019 - Current"
054-2019,"Misbranding, Unreported Allergens","Caito Foods, LLC, Caito Foods, LLC","Illinois, Indiana, Kentucky, Michigan, Ohio, Illinois, Indiana, Kentucky, Michigan, Ohio","Fri, 05/17/2019 - Current, Fri, 05/17/2019 - Current"
053-2019,"Misbranding, Unreported Allergens","MIBO Fresh Foods LLC, MIBO Fresh Foods LLC","Texas, Texas","Wed, 05/15/2019 - Mon, 12/23/2019, Wed, 05/15/2019 - Mon, 12/23/2019"
052-2019,Produced Without Benefit of Inspection,NA,California,"Wed, 05/15/2019 - Mon, 12/23/2019"
051-2019,"Misbranding, Unreported Allergens","Taylor Farms TX, Inc., Taylor Farms TX, Inc.","Texas, Texas","Tue, 05/14/2019 - Wed, 06/26/2019, Tue, 05/14/2019 - Wed, 06/26/2019"
050-2019,"Misbranding, Unreported Allergens","Santa Fe Importers, Inc., Santa Fe Importers, Inc.","California, California","Tue, 05/07/2019 - Tue, 06/11/2019, Tue, 05/07/2019 - Tue, 06/11/2019"
049-2019,"Misbranding, Unreported Allergens","ConAgra Brands, Inc., ConAgra Brands, Inc.","NA, NA","Sat, 05/04/2019 - Tue, 04/06/2021, Sat, 05/04/2019 - Tue, 04/06/2021"
034-2019 EXP,Product Contamination,"Tyson Poultry, Inc.",NA,"Sat, 05/04/2019 - Thu, 03/11/2021"
048-2019,Product Contamination,Grant Park Packing,"Kentucky, Minnesota","Wed, 04/24/2019 - Thu, 03/05/2020"
047-2019,Product Contamination,Miniat Foods LLC,"Florida, Georgia","Tue, 04/23/2019 - Fri, 11/22/2019"
046-2019,Produced Without Benefit of Inspection,JBS USA,"Colorado, Kansas, New Mexico, Utah, Wyoming","Fri, 04/12/2019 - Mon, 05/13/2019"
045-2019,Mislabeling,Yoakum Packing Co.,Texas,"Wed, 04/10/2019 - Wed, 06/24/2020"
044-2019,Product Contamination,Great American Marketing Co.,Texas,"Tue, 04/09/2019 - Tue, 12/03/2019"
043-2019,Product Contamination,"JBS Plainwell, Inc.","Michigan, Wisconsin","Mon, 04/08/2019 - Wed, 07/17/2019"
042-2019,Product Contamination,J&J Snack Foods Handhelds Corp.,NA,"Fri, 04/05/2019 - Wed, 05/13/2020"
041-2019,"Misbranding, Unreported Allergens","Blount Fine Foods, Blount Fine Foods","NA, NA","Thu, 04/04/2019 - Thu, 06/06/2019, Thu, 04/04/2019 - Thu, 06/06/2019"
040-2019,Product Contamination,"AdvancePierre Foods, Inc.",NA,"Tue, 04/02/2019 - Fri, 05/31/2019"
039-2019,"Misbranding, Unreported Allergens","NA, NA","Oregon, Oregon","Sat, 03/30/2019 - Mon, 06/17/2019, Sat, 03/30/2019 - Mon, 06/17/2019"
038-2019,Product Contamination,"Aurora Packing Company, Inc.","Illinois, Iowa, Wisconsin","Tue, 03/26/2019 - Current"
036-2019,"Misbranding, Unreported Allergens","Tip Top Poultry, Inc., Tip Top Poultry, Inc.","Michigan, Michigan","Sat, 03/23/2019 - Wed, 02/12/2020, Sat, 03/23/2019 - Wed, 02/12/2020"
037-2019,Product Contamination,North Country Smokehouse,NA,"Sat, 03/23/2019 - Wed, 07/24/2019"
035-2019,Produced Without Benefit of Inspection,Two Brothers Pork Skins,"North Carolina, South Carolina","Fri, 03/22/2019 - Current"
034-2019,Product Contamination,"Tyson Poultry, Inc.","Michigan, Washington","Thu, 03/21/2019 - Thu, 03/11/2021"
033-2019,Product Contamination,NA,Illinois,"Tue, 03/19/2019 - Mon, 12/23/2019"
032-2019,Product Contamination,"Procesadora La Hacienda, Inc.",Puerto Rico,"Fri, 03/15/2019 - Thu, 12/05/2019"
031-2019,Product Contamination,"Productos La Aguadillana, Inc.",Puerto Rico,"Thu, 03/14/2019 - Wed, 11/27/2019"
030-2019,Product Contamination,"Butterball, LLC",NA,"Wed, 03/13/2019 - Fri, 03/20/2020"
029-2019,Product Contamination,"Monogram Meat Snacks, LLC",NA,"Wed, 03/13/2019 - Tue, 03/24/2020"
028-2019,Misbranding,North Country Smokehouse,NA,"Tue, 03/12/2019 - Wed, 07/24/2019"
027-2019,"Misbranding, Unreported Allergens","LSI Specialty Meats, LLC, LSI Specialty Meats, LLC","Florida, Georgia, Florida, Georgia","Tue, 03/12/2019 - Mon, 05/06/2019, Tue, 03/12/2019 - Mon, 05/06/2019"
026-2019,"Misbranding, Unreported Allergens","Choice Canning Company Inc., Choice Canning Company Inc.","California, Connecticut, Florida, Georgia, Minnesota, New York, Pennsylvania, Texas, Virginia, California, Connecticut, Florida, Georgia, Minnesota, New York, Pennsylvania, Texas, Virginia","Mon, 03/11/2019 - Wed, 06/05/2019, Mon, 03/11/2019 - Wed, 06/05/2019"
025-2019,"Misbranding, Unreported Allergens","ConAgra Brands, Inc., ConAgra Brands, Inc.","Florida, Kentucky, New York, Florida, Kentucky, New York","Sat, 03/09/2019 - Wed, 06/05/2019, Sat, 03/09/2019 - Wed, 06/05/2019"
024-2019,Product Contamination,"Washington Beef, LLC",Washington,"Sat, 03/02/2019 - Tue, 07/23/2019"
023-2019,Produced Without Benefit of Inspection,"McAllen Cold Storage, Ltd.",Texas,"Tue, 02/26/2019 - Thu, 03/28/2019"
022-2019,Product Contamination,"Sahlen Packing Company, Inc.","Connecticut, Massachusetts, New Hampshire, New York, Pennsylvania, Vermont","Tue, 02/26/2019 - Wed, 06/05/2019"
021-2019,"Misbranding, Unreported Allergens","Russ Davis Wholesale, Inc., Russ Davis Wholesale, Inc.","Iowa, Iowa","Mon, 02/25/2019 - Mon, 05/13/2019, Mon, 02/25/2019 - Mon, 05/13/2019"
020-2019,Product Contamination,"Bellisio Foods, Inc.",Arizona,"Sat, 02/23/2019 - Wed, 06/10/2020"
019-2019,Produced Without Benefit of Inspection,NA,Texas,"Fri, 02/22/2019 - Fri, 02/14/2020"
018-2019,Produced Without Benefit of Inspection,NA,Illinois,"Fri, 02/22/2019 - Tue, 05/19/2020"
017-2019,"Misbranding, Unreported Allergens","J Bar B Foods, J Bar B Foods","Texas, Texas","Thu, 02/21/2019 - Mon, 05/06/2019, Thu, 02/21/2019 - Mon, 05/06/2019"
016-2019,Product Contamination,"Lean Culinary Services, LLC",Florida,"Tue, 02/19/2019 - Tue, 04/02/2019"
015-2019,Processing Defect,Panola County Processing LLC,Texas,"Mon, 02/11/2019 - Wed, 11/27/2019"
014-2019,"Misbranding, Unreported Allergens","VICS Acquisition, LLC, VICS Acquisition, LLC","Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina","Sun, 02/10/2019 - Tue, 11/26/2019, Sun, 02/10/2019 - Tue, 11/26/2019"
013-2019,"Produced Without Benefit of Inspection, Import Violation","NA, NA","NA, NA","Tue, 02/05/2019 - Mon, 04/15/2019, Tue, 02/05/2019 - Mon, 04/15/2019"
012-2019,Produced Without Benefit of Inspection,NA,California,"Mon, 02/04/2019 - Tue, 03/05/2019"
011-2019,"Misbranding, Unreported Allergens","Taylor Farms TX, Inc., Taylor Farms TX, Inc.","Texas, Texas","Sat, 02/02/2019 - Mon, 05/13/2019, Sat, 02/02/2019 - Mon, 05/13/2019"
010-2019,Product Contamination,Pilgrim's Pride Corporation,Florida,"Fri, 02/01/2019 - Mon, 05/06/2019"
009-2019,Product Contamination,"Tyson Poultry, Inc.",NA,"Tue, 01/29/2019 - Mon, 05/06/2019"
008-2019,"Misbranding, Unreported Allergens","PERDUE FOODS, LLC., PERDUE FOODS, LLC.","Connecticut, Delaware, Maine, Maryland, Massachusetts, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, Virginia, Washington, West Virginia, Connecticut, Delaware, Maine, Maryland, Massachusetts, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, Virginia, Washington, West Virginia","Mon, 01/28/2019 - Tue, 03/05/2019, Mon, 01/28/2019 - Tue, 03/05/2019"
007-2019,"Misbranding, Unreported Allergens","Harvest Food Group, Harvest Food Group","Illinois, Michigan, Illinois, Michigan","Fri, 01/25/2019 - Current, Fri, 01/25/2019 - Current"
006-2019,Produced Without Benefit of Inspection,Stino Da Napoli,Ohio,"Wed, 01/23/2019 - Mon, 06/08/2020"
005-2019,"Misbranding, Unreported Allergens","Custom Made Meals, Custom Made Meals","Illinois, Wisconsin, Illinois, Wisconsin","Fri, 01/18/2019 - Thu, 03/28/2019, Fri, 01/18/2019 - Thu, 03/28/2019"
004-2019,Produced Without Benefit of Inspection,NA,"California, Nevada, Texas","Fri, 01/18/2019 - Mon, 04/15/2019"
003-2019,Product Contamination,"Johnsonville, LLC",NA,"Fri, 01/18/2019 - Wed, 05/08/2019"
002-2019,Product Contamination,Perdue Foods LLC,NA,"Thu, 01/17/2019 - Fri, 03/08/2019"
001-2019,Product Contamination,"HK Cooperative, Inc.","Kentucky, Ohio, Pennsylvania","Wed, 01/09/2019 - Fri, 02/14/2020"
125-2018,Product Contamination,R. L. Zeigler Co. Inc.,NA,"Sun, 12/30/2018 - Fri, 04/05/2019"
124-2018,Product Contamination,Jennie-O Turkey Store,NA,"Fri, 12/21/2018 - Mon, 05/06/2019"
123-2018,"Misbranding, Unreported Allergens","Russ Davis Wholesale, Inc., Russ Davis Wholesale, Inc.","New Mexico, New Mexico","Tue, 12/18/2018 - Mon, 01/14/2019, Tue, 12/18/2018 - Mon, 01/14/2019"
122-2018,Produced Without Benefit of Inspection,NA,NA,"Sat, 12/15/2018 - Fri, 04/19/2019"
121-2018,NA,NA,"Massachusetts, Vermont","Thu, 12/13/2018 - Wed, 02/27/2019"
120-2018,Product Contamination,CTI Foods LLC.,Tennessee,"Mon, 12/10/2018 - Fri, 02/14/2020"
119-2018,NA,NA,Ohio,"Sun, 12/09/2018 - Fri, 12/14/2018"
118-2018,NA,NA,New Jersey,"Fri, 12/07/2018 - Mon, 04/15/2019"
085-2018 EXP,Product Contamination,JBS Tolleson Inc.,NA,"Tue, 12/04/2018 - Tue, 04/16/2019"
117-2018,NA,NA,NA,"Fri, 11/23/2018 - Wed, 01/23/2019"
116-2018,Product Contamination,165368 C. Corporation,NA,"Tue, 11/20/2018 - Wed, 01/22/2020"
115-2018,"Misbranding, Unreported Allergens","NA, NA","Utah, Utah","Mon, 11/19/2018 - Thu, 01/03/2019, Mon, 11/19/2018 - Thu, 01/03/2019"
114-2018,Product Contamination,Swift Beef Company,"California, Nevada, Oregon, Utah, Washington","Sat, 11/17/2018 - Fri, 02/14/2020"
113-2018,Product Contamination,Majestic Meat Company,Utah,"Fri, 11/16/2018 - Fri, 04/26/2019"
112-2018,Product Contamination,NA,NA,"Thu, 11/15/2018 - Mon, 05/06/2019"
111-2018,Product Contamination,Ron's Home Style Foods,Texas,"Wed, 11/14/2018 - Fri, 02/14/2020"
110-2018,"Misbranding, Unreported Allergens","NuVue Foods, NuVue Foods","Indiana, Michigan, Ohio, Indiana, Michigan, Ohio","Fri, 11/09/2018 - Tue, 12/18/2018, Fri, 11/09/2018 - Tue, 12/18/2018"
109-2018,Product Contamination,Ganaderos Borges Inc.,Puerto Rico,"Tue, 11/06/2018 - Thu, 09/19/2019"
108-2018,NA,NA,"Florida, Illinois, Maryland, Massachusetts, Pennsylvania","Wed, 10/31/2018 - Tue, 12/04/2018"
107-2018,Product Contamination,"Procesadora La Hacienda, Inc.",Puerto Rico,"Wed, 10/31/2018 - Mon, 05/06/2019"
106-2018,"Misbranding, Unreported Allergens","NA, NA","Maryland, New Jersey, New York, Ohio, Pennsylvania, Maryland, New Jersey, New York, Ohio, Pennsylvania","Sat, 10/27/2018 - Thu, 10/10/2019, Sat, 10/27/2018 - Thu, 10/10/2019"
105-2018,Produced Without Benefit of Inspection,Suzanna's Kitchen Inc.,NA,"Fri, 10/26/2018 - Tue, 08/13/2019"
104-2018,Misbranding,NA,NA,"Thu, 10/25/2018 - Fri, 08/30/2019"
103-2018,NA,NA,NA,"Sun, 10/21/2018 - Thu, 10/10/2019"
100-2018,Product Contamination,NA,NA,"Fri, 10/19/2018 - Wed, 01/02/2019"
098-2018,Product Contamination,"Ruiz Food Products, Inc.",NA,"Fri, 10/19/2018 - Wed, 07/24/2019"
101-2018,NA,"Buddy's Kitchen, Inc.","Arizona, California, Georgia, Illinois, Minnesota, Missouri, New Jersey","Fri, 10/19/2018 - Wed, 04/10/2019"
097-2018,Product Contamination,"GHSW, LLC","Colorado, Louisiana, New Mexico, Oklahoma, Tennessee, Texas","Fri, 10/19/2018 - Wed, 07/17/2019"
102-2018,Product Contamination,SK Food Group,"California, Colorado, Florida, Hawaii, Idaho, Illinois, Maryland, Michigan, North Carolina, Ohio, Oregon, Pennsylvania, Texas","Fri, 10/19/2018 - Thu, 04/09/2020"
099-2018,Product Contamination,"Caito Foods, LLC","Illinois, Indiana, Michigan, Minnesota, Missouri","Fri, 10/19/2018 - Mon, 05/04/2020"
096-2018,Product Contamination,"GHSE, LLC","Florida, Georgia, South Carolina","Wed, 10/17/2018 - Tue, 08/13/2019"
095-2018,Product Contamination,Taylor Farms Northwest LLC,"Oregon, Washington","Wed, 10/17/2018 - Fri, 12/07/2018"
094-2018,Product Contamination,"Mary's Harvest Fresh Foods, Inc.","Idaho, Oregon, Washington","Wed, 10/17/2018 - Tue, 11/20/2018"
093-2018,Product Contamination,"GH Foods CA, LLC",California,"Wed, 10/17/2018 - Tue, 11/20/2018"
092-2018,Product Contamination,NA,Texas,"Tue, 10/16/2018 - Fri, 03/01/2019"
